TITLE;DESCRIPTION;VERSION;CREATION;UPDATE
"1Forge Finance APIs";"Stock and Forex Data and Realtime Quotes";"1Forge";30-05-2017 08:34:14;27-06-2017 16:49:57
"Authentiq";"Strong authentication, without the passwords.";"Authentiq team";15-03-2017 14:45:58;03-10-2017 18:36:19
"Adafruit IO";"### The Internet of Things for Everyone

The Adafr";"";10-02-2018 10:41:43;10-02-2018 10:41:43
"Afterbanks";"La estandarización de la conexión con cualquier ";"";20-09-2017 14:12:57;22-09-2017 19:40:52
"airportsapi";"Get name and website-URL for airports by ICAO code";"";26-09-2017 15:09:23;26-09-2017 15:09:23
"Amadeus Travel Innovation Sandbox";"";"Amadeus Innovation and Research";01-02-2017 13:06:13;04-04-2017 17:27:32
"AWS Migration Hub";"<p/>";"Mike Ralphson";20-08-2017 11:00:29;05-12-2017 13:11:36
"AWS Certificate Manager";"<fullname>AWS Certificate Manager</fullname> <p>We";"Mike Ralphson";02-05-2017 07:59:53;06-02-2018 08:29:45
"Alexa For Business";"Alexa for Business makes it easy for you to use Al";"Mike Ralphson";01-12-2017 18:40:16;27-01-2018 11:53:44
"Amazon API Gateway";"<fullname>Amazon API Gateway</fullname> <p>Amazon ";"Mike Ralphson";02-05-2017 07:59:53;20-12-2017 09:37:08
"Application Auto Scaling";"<p>With Application Auto Scaling, you can automati";"Mike Ralphson";02-05-2017 07:59:53;17-01-2018 08:36:44
"Amazon AppStream";"<fullname>Amazon AppStream 2.0</fullname> <p>You c";"Mike Ralphson";02-05-2017 07:59:53;24-02-2018 12:06:43
"AWS AppSync";"AWS AppSync provides API actions for creating and ";"Mike Ralphson";30-11-2017 10:12:39;15-02-2018 09:33:19
"Amazon Athena";"<p>Amazon Athena is an interactive query service t";"Mike Ralphson";30-05-2017 07:01:55;28-11-2017 16:03:46
"Auto Scaling";"<fullname>Amazon EC2 Auto Scaling</fullname> <p>Am";"Mike Ralphson";02-05-2017 07:59:53;21-02-2018 09:08:17
"AWS Auto Scaling Plans";"<p>Use AWS Auto Scaling to quickly discover all th";"Mike Ralphson";17-01-2018 08:36:44;18-01-2018 12:17:33
"AWS Batch";"<p>AWS Batch enables you to run batch computing wo";"Mike Ralphson";02-05-2017 07:59:53;30-11-2017 10:12:39
"AWS Budgets";"<p>Budgets enable you to plan your service usage, ";"Mike Ralphson";02-05-2017 07:59:53;09-02-2018 12:41:49
